Gene,CAT7,CAT12,CAT13,CAT25,CAT34,CAT38,CAT39,CAT11,CAT14,CAT17,CAT19,CAT21,CAT22,CAT26,CAT27,CAT28,CAT32,CAT33,CAT35,CAT20,CAT23,CAT24,CAT30,CAT31
abhd6,-2.5698865857042934,0.0,0.0,-0.08512882797857224,-0.7313531107321275,0.0,0.0,-0.7033015849163149,0.3157200596460484,-1.3281360989205393,-0.3160474228898999,-2.321974980858462,0.8372717332824283,0.07330340247087429,0.0,1.0767697460185937,-1.3569806195947507,0.0,0.2457025577988129,0.0,3.0761617119659674,-1.9856655792827935,0.0,0.0
abi1,-0.7941586053546001,0.0,1.6287886725577885,0.3764850989451265,0.5947090675268565,0.0,-0.8210066708156556,0.464568989795861,1.6722147610924605,1.624786036986341,1.2743593696905715,0.6526211473936078,0.8207004064367295,-0.22236824847400427,1.220507688621305,0.41331568491359527,0.6217090540612944,1.0381850874204595,0.18913960844539646,0.0,0.09874642286186147,0.37883943861532055,-0.5082371389274055,-1.4059045791195914
abi2,-0.18175492391214979,-1.0645665744008526,0.0,-0.1972468570353158,-0.17332975534080336,-0.10939435073795972,-0.05871226321547957,-1.6033559328803462,-0.33557268407514473,0.2173452206009365,-1.8651866678698366,-0.4762666378003661,-0.9522172318470588,-1.0961713133226125,0.0,-0.6756108991546557,-1.7142068051814041,0.2360652194384826,-0.3469606309702288,0.0,0.9798759496588871,-0.08401392729723807,0.5386127602033798,-1.6789571924307705
abl1,0.038530411590631655,0.0,-0.5536471854429273,-0.3543769720779724,0.3748777003922301,0.0,-0.3775411681917371,-0.7054277275556545,-0.0013324108906081031,0.2965189320982785,-0.12951320508905775,0.26122379307750926,1.2266777215470186,0.0,0.6868415795168255,0.0,0.8635624056421629,0.36625068035252545,-1.182039788199644,0.0,0.24239090145494013,0.5038071638952808,-0.5367127410327649,0.0
abl2,1.2176606561699828,-0.673407554683258,0.19329868282661988,0.1968568394750668,1.3111850699747134,0.0,0.3705102074226162,0.3409870765521439,0.08592904207267184,0.021315752985284816,0.3386162757140087,0.34588917798241237,0.7977774217992081,0.07147410019574782,0.47149550091146075,-0.7367009422840786,-0.6409824254506771,-0.9783066271494365,0.0674663311826269,0.0,0.6278239178134336,0.020555801027020492,0.489347932394392,-1.150737129796168
ablim1,1.096316890306578,0.0,0.0,0.8166269956108001,0.0,0.0,0.0,0.4903366533000617,0.06318339032989853,-0.8031863900490285,-0.16571050628818382,-0.16600579683111752,-1.3302249538213116,0.0,-1.706178358273353,-1.587910119963487,-1.4306233960046704,-0.8548328505972441,-1.071487303031527,0.0,1.1622015059560262,-0.10337091628485263,0.0,0.0
abr,1.062628771245442,0.09047544502339647,-0.24843813350610955,0.1874018241856948,0.4349593281185526,0.050618186979539126,0.7544832840979607,-0.1439554048862675,-0.8118298384975084,-0.6253897687526093,-0.36063094743755847,0.1486621005855564,0.44522602545484236,-0.043756882491398016,-1.1216630294180294,0.44490602582789934,-1.0912033616093375,1.1321391849555091,0.033667292574676516,0.0,-0.6430983996893307,-1.0563305346244167,-1.35983538995143,-1.6664509673261652
abraxas2,-0.21742119297566131,0.0,0.0,-0.06783108217890833,0.23150951308926815,-0.09183310434807906,0.8836180332665993,0.0,0.0,0.11375489457032446,-0.10985176400228444,-1.0031977192638313,1.0529486188528963,-0.057891992207968444,0.09320425347729984,0.07998026866244402,-1.206233129755011,0.0,-2.6313883894966588,0.0,-0.8262168422010654,-0.7564817655520992,-0.7934203581537164,1.3677673141090139
abtb1,-2.054866783501255,0.0,0.0,-0.8330480795047102,0.7655738770402696,0.0,0.0,-1.9057560137232064,-1.9516551135089042,-0.604863197754117,0.06219679442794265,0.02836201096171039,0.23255099058617726,0.0,-0.5096683893782639,0.0,-1.5227717436253143,-1.1976587232129394,0.0,0.0,0.7768820447786758,-1.2091314584774413,-1.5104097624479864,0.0
acaa2,-1.439806398664516,0.0,0.0,-0.2903049372115223,-1.6390138667176228,-0.045441656377610475,-0.42744816672719865,-0.26432265329891563,0.0,-0.6585991932574897,0.1114941293938857,-0.05022559206749492,-1.6218754546804914,0.4070831266161925,0.0,0.5571380462074551,-1.0797387107540446,0.20282946818031392,-0.5101195852389543,0.13613014176778368,-0.3293258807365453,-1.2854880165759648,-1.1584659800971377,0.0
acaca,1.854706699259362,0.0,0.0,0.0,1.1333471516152596,-0.761113979261928,-0.23363298592512455,0.0,0.0,-0.9509278706125646,-0.04698710169904787,0.26210693616738334,-0.8234660851828804,0.0,-0.5096683893782639,0.0,-1.453023337254548,0.8873602939557679,-0.5565922129984618,0.0,0.42862149395354227,-1.4865175565496034,-1.9371578837096468,0.0
acad10,0.2536380813712999,0.0,0.0,-0.49913264040111366,-0.26492659958634646,0.06569126704322323,0.0,0.0,0.0,-0.2565934786597431,-0.05824557999374429,-0.7913397141874005,-0.38492399435392904,-0.4816570598601895,-0.5096683893782638,0.47571111451393033,0.0,0.8201776017280575,-0.04070486799662259,0.0,1.9386795324552282,-1.4710720753190447,0.0,0.0
acad11,1.3542456171872004,0.0,0.0,-0.14963029075409462,0.0,0.399342820953142,-2.530215136436671,-0.09203843254998488,0.0,0.31697631374161234,0.5082589266565013,-0.07973594050944503,-0.260921835438171,0.3659398757777616,-0.47802814868864,1.069352459488914,0.22624627251701387,0.48220846888082325,0.11562163373472585,-0.02397388405513344,0.20474689899988954,0.32525392147897303,0.0,0.0
acad9,-1.3572972291244814,0.0,0.0,-0.5899225477274067,-1.2855821643851577,-0.029306946051779307,0.0058335956752544925,-0.2002292249777977,0.0,-0.27277201651519994,0.4207340173949889,-0.1873092537962919,1.0062539418158722,0.27442234757704054,-1.326413505910285,0.34595979081509365,-1.2980959907192515,0.7524562126628201,0.339258201926095,0.1298880552047663,-0.4958252151163518,-1.8218519366193007,0.0,0.0
acadl,0.27776559030478576,0.0,0.0,-0.21810888635797818,-1.7844631871932104,-0.13444380747492887,-0.1264963577080264,0.6499907474739459,0.0,-0.39579255122940016,0.4668460215536661,-0.8968839536039919,0.06871776789694886,0.3124169417795555,0.0056404057259758465,1.5204981771411608,0.5119530696675064,0.2745161312037851,0.11332603896036063,0.0,0.16994763855089,0.0,0.0,0.0
acadm,-0.5087616989568472,0.0,-1.6971923953147305,-0.5675373273583993,-1.506273907885256,0.19915452932616562,-0.5314258673794621,1.2825064987663208,1.1252770741878082,1.0177778107220588,0.9397929682652943,0.3237321000983608,0.8838556561145723,0.04162959858567002,1.8530031124664765,-1.0738067062799597,1.5116519360758904,0.8044055892753672,0.02970518576751931,0.06906800015538812,1.3772385355745373,-0.23215934887245906,0.0,0.0
acads,-1.4025301951791922,0.0,0.0,0.21822878525007275,-0.2017150703947077,-0.16339727146095762,-0.3755371646431361,0.0,0.0,-1.8535630468709878,-1.8671288463182167,-1.05904607565011,-0.6280004225135445,-0.5053014110894215,0.0,0.48514769403053215,0.6522716957751455,0.0,0.027495175651550297,-0.6154410812405336,-0.4727666206277018,-0.4347784511500339,0.0,0.0
acadsb,-0.21627378624593613,0.0,0.0,-0.6284307110030544,-1.0651218375609068,-0.06085424064819773,0.0,0.6453935325586824,0.0,0.6069086272408055,0.6270573274087983,0.1535210739465451,0.3418013008581737,0.0961222690397359,0.9882779009446072,0.40235145986742044,1.193314365631684,0.9267963257039856,0.26673974369630993,0.0,0.7704574269364739,1.6002927331927923,-0.4998194335401517,1.1779561556576457
acadvl,-2.4208779141041186,0.0,-2.195669010286452,-0.1660826234418413,-1.5159537658748867,-0.21859873910162425,-1.8906807936118983,0.17726745985341685,0.0,-0.5299273220882555,-0.30744092850641125,-2.7079781818297666,-1.0449376154997805,-0.13163070047074074,0.0,0.35436130235802743,1.2262796532531548,-0.1327087322439498,0.035125686061763195,0.2730087593873901,0.06702916807796568,-1.8359991182787665,-2.0303616404881444,0.0
acap2,0.028571608342947096,0.0,-0.6656545464052843,0.008714014163926503,0.6052773093710823,0.3828927843597304,0.6533916772534024,1.2274847546567342,1.4110797213445305,1.5550537964275974,1.130506126312868,0.505325468796426,0.8017784993565212,0.0,1.2730071497672313,0.0,1.4075633052703171,1.7430403535229622,0.36892858007787266,0.0,0.054674979361562015,-0.1305479422819077,0.18548161575478145,0.0
acap3,0.5103880479293067,0.0,0.0,0.07396043762356042,0.30413397120889174,0.0,1.0355329575892551,-0.1675287329405478,-0.5546597171213774,-1.7724471830184252,-1.9255937381373947,-0.14297769005863234,0.43709154811399764,0.0,-1.238849658158961,0.0,0.5997130018015147,-1.260242298668316,0.0,0.0,-0.22467730559194368,-1.1653678046091998,-2.0620160272811434,0.0
acat1,-1.355043312549372,0.0,-0.9046429407932547,0.04668496724891288,-0.7963502509258132,-0.5422833621260245,-0.8151613475842698,0.8362888199416872,1.106617298820915,0.907653022907406,0.714911516475365,0.6847426646385861,1.0943690158252026,0.7486383527730844,0.8067337137664625,0.26539569821982295,1.3301059698637703,1.6428373908972802,0.12888878141764304,0.16603746559782442,0.0005324992362284775,-0.4297143688546253,-0.04536997293384968,0.011264931552613487
acat2,0.19324218311422853,0.0,0.7268812040068423,0.4706262361616705,0.42278614317295427,0.4406879121815015,0.6238137033163489,0.0,0.0,-0.14924451509624748,0.1620656118668038,0.0,-1.4874413222612417,-0.10780424569830778,0.0,0.29120014733135935,0.6367182237984012,0.0,-0.21721019835116043,0.13027799942014248,0.21645448975964293,0.15620040989635126,0.20960972809739772,-1.2630155118902977
acbd3,-0.918910801795818,-0.6015454604066882,-0.5032004344137917,-0.11251630404597524,-0.7602274952824629,0.33455847336754285,0.6357635140834845,0.16886058126268746,0.31371141123997714,0.35875473693688215,0.33818136662865955,0.034398489374825716,0.8743625852936567,0.48878826033614964,0.18523701473047083,0.5390553110426166,0.3362905065804452,0.0473021682536981,0.4656527877363795,0.0,0.6776819729710419,-0.048397455874706126,-0.16559078334153388,-0.1454950558026058
acbd5,0.8067931593291194,0.3452000882892983,0.02605477955719632,0.5725289695052076,0.5160049847604607,0.4578093691296456,0.663045079425718,1.0820397046128818,1.2682590407528336,1.1053345369215175,0.6791748496598901,0.6154074032078778,1.1236892014995987,1.1732744735588216,0.8223855222579973,1.5534018201451336,0.7770039349903624,0.0,1.0791520257577483,0.0,-0.27955805718589244,0.029811240354730695,0.0,0.0
acbd6,0.7316175453137371,0.1546900889181537,0.0,0.33163922040141536,1.5423144882105277,-0.1045265740371946,1.0923345506501025,-0.7067482509202497,-0.9452802005137567,-0.8378865060055596,0.06554117135517387,0.5836497801291319,0.04085181042239817,-0.8659489804970462,-0.5096683893782639,-1.8817242165538797,-0.7247491853891302,-0.49008390045834294,-0.8986332485623078,0.0,0.19510281351576056,0.43451275578754317,0.0,0.0
acer3,-1.1506146914088267,0.0,-1.367854759225331,0.01946050194044247,-1.006326861107386,0.0,0.2944597062231978,0.36192083837068456,0.0,0.8175916443173088,0.6456462807082182,-0.264775759614624,-0.14404915070516694,0.0,0.0,0.0,-1.157715020264998,0.19184572954812018,0.0,0.0,0.5548464027335123,-0.2791306972737489,0.39236172780772377,0.0
