geneid,CAT1,CAT2,CAT4,CAT5,CAT16,CAT36,CAT7,CAT12,CAT13,CAT25,CAT34,CAT38,CAT39,CAT11,CAT14,CAT17,CAT19,CAT21,CAT22,CAT26,CAT27,CAT28,CAT32,CAT33,CAT35,CAT20,CAT23,CAT24,CAT30,CAT31
mea1,0.0,0.419906974,-0.058207257,-0.495853734,0.250689245,1.198966843,-1.283608953,0.0,0.0,0.08666113,-0.988598052,0.124837164,-1.305301337,-0.791095467,0.0,-0.974874503,-0.374471768,0.087217954,-1.378850733,-0.758523298,-2.143158622,-0.157116538,-1.09525956,-1.473490107,-0.047226065,0.0,-1.261547792,-1.604359732,-2.243830241,0.0
meaf6,0.0,0.366798553,0.201379309,-0.207336874,0.446050524,0.41700591,1.726876757,0.0,0.0,0.310647612,1.26903007,0.0,0.13634818,-3.135721443,-0.487061414,-0.701936988,-0.102226332,-0.32376352,-1.563602783,0.0,-0.889433242,-0.753600329,-1.014829744,-1.110920749,-0.274598218,0.0,0.438250336,1.420896537,0.897418169,0.755430612
mecp2,0.0,-1.245363038,-0.251997334,0.0,0.372933662,-0.130643773,-0.340816958,0.0,0.0,-0.079418039,-0.407103755,0.0,-1.252329994,-0.113786702,0.481993389,-1.93733031,-0.275956161,0.56289025,-0.843482467,0.0,0.0,0.0,-1.442815293,-0.209251869,0.0,0.0,1.160140257,-1.090080145,0.0,0.0
mecr,0.0,0.382544438,0.610259717,0.507549031,0.615311754,0.374109441,0.216985624,0.0,-0.729123452,0.07793439,0.284616396,-0.126982445,-0.574158424,-1.636570764,-1.067134423,-0.423270303,0.242922705,-1.856140918,-1.316099917,0.189735146,-1.238849658,0.268582761,-1.43627613,-0.570687918,0.092077364,-0.318299783,-0.659448334,-2.132561784,0.0,-0.418080435
med1,0.12540692,-1.420438671,-2.151619659,-2.840512432,0.129311547,-2.349345518,3.500538025,0.0,0.0,0.040541207,2.435754375,0.0,1.397953661,0.630884298,-0.339797497,-0.09639319,0.151789478,0.377233114,0.482380485,-0.374958024,-1.441014277,0.520162627,-0.029451941,-1.901860426,0.145111211,0.0,0.458808075,0.11428793,0.640638179,0.426910948
med10,0.315635485,0.061831949,-0.542822878,1.575434606,0.12805267,0.654121219,0.252241603,0.0,0.0,0.010217518,-0.599032646,-0.199197738,-0.095362138,1.173535256,0.0,1.386907577,1.136421588,1.081600334,0.853290031,2.096296944,1.985097242,1.809327732,1.47648947,0.0,2.24574668,0.0,0.416240105,1.575102241,0.77647033,0.695524965
med11,0.0,0.266891364,0.0,0.07772954,0.08069573,0.0,-0.86948078,0.0,-1.322695104,-0.113118384,-0.353602232,1.385296655,-0.897063338,1.128545261,2.200856464,1.445875131,1.689572631,1.541700884,0.955006773,0.0,1.337694317,2.1456224,2.080583832,1.475707878,1.036435886,0.0,0.034909076,-0.157837211,-0.367720195,0.0
med12,-0.105504562,0.506997421,0.236569759,-0.865050956,0.503313444,0.29963335,1.206518682,2.622406626,1.5979264,0.0,1.18657502,0.369952646,0.66084561,-1.199265562,-0.232296654,0.140882156,0.138255896,-0.132958697,-0.292249733,0.0,-1.08448361,0.0,0.677520723,-1.022610391,0.0,0.0,-1.105221226,-0.474684162,0.594242262,0.0
med13,0.0,-1.506184921,-0.116780042,-1.098473866,0.354159868,-0.930230951,1.087778656,0.0,1.361017381,0.258011156,1.232311509,0.0,-0.350537664,1.127133791,1.010585346,1.452516259,0.450828948,0.637419017,0.377775608,0.0,2.154439434,0.0,1.884502137,0.518741705,0.0,0.0,0.807663508,1.30338056,0.298654554,0.345486996
med13l,0.0,-1.475694242,-2.330493922,-1.239701221,-0.301609654,-3.099060311,1.262510732,0.0,-1.682840015,-0.205201576,0.643786121,0.0,-0.197079907,-0.042997678,0.151205733,0.291786821,-0.30350689,0.180974678,0.160675612,0.0,0.713395597,0.0,1.863745726,0.256023875,0.0,0.0,0.366341917,1.023362403,0.744339496,-0.891195301
med14,-0.230507437,-0.285072212,-0.010355602,0.1072666,0.245150235,-0.2462512,0.713349574,0.0,0.0,0.0,0.378194326,-0.212193302,0.178006753,0.171114584,-0.964721141,-0.121800943,-0.086096165,-0.308339768,0.542541206,0.0,-1.314518317,0.02956599,-0.795692928,0.624480274,-1.904929598,0.0,1.534699611,1.776840996,1.556282277,1.370278271
med15,0.555458156,-1.214565586,0.013498875,0.017343968,0.392400706,-0.741950866,0.197812759,0.0,0.0,0.139992814,0.828939254,-0.590820708,0.539311016,1.193019486,0.755607004,1.158276016,1.01169821,0.685258802,1.516207496,0.0,1.07069686,-0.811016893,1.169804965,0.750352559,0.87164553,0.0,0.457676841,0.233154239,-0.156547045,-0.305668795
med16,0.770130177,0.123017179,0.683866348,-0.931894313,0.535760149,-0.850562328,-1.468724774,0.0,0.0,-0.253600298,-1.449220726,-0.050299838,-1.248914317,-0.219594911,-2.57360782,-2.139563382,0.223023627,-0.47305884,0.219093766,0.0,-0.889433242,0.0,-1.528080089,0.836017684,0.0,0.0,-2.38939007,-0.374318743,-0.478700873,-1.083274791
